"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 24 16:10:00 GMT 2025","Fri Jan 24 16:10:05 GMT 2025","4385","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:09:47 GMT 2025","Fri Jan 24 16:09:55 GMT 2025","7650","","the-internet selenium demo","","add/remove elements: add","","add/remove elements: add","  This website contains some common web elements for selenium demo"
"failed","Fri Jan 24 16:09:48 GMT 2025","Fri Jan 24 16:10:02 GMT 2025","13752","","the-internet selenium demo","","Check if all image loaded","","Check if all image loaded","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:09:21 GMT 2025","Fri Jan 24 16:09:31 GMT 2025","10075","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 16:09:44 GMT 2025","Fri Jan 24 16:09:54 GMT 2025","10523","","Inventory Functionality","","Test if inventory is list as low to high","","Test if inventory is list as low to high",""
"passed","Fri Jan 24 16:09:21 GMT 2025","Fri Jan 24 16:09:31 GMT 2025","9865","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 16:09:25 GMT 2025","Fri Jan 24 16:09:31 GMT 2025","6689","","Login Functionality","","username is empty","","username is empty",""
"passed","Fri Jan 24 16:09:27 GMT 2025","Fri Jan 24 16:09:32 GMT 2025","4922","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 16:10:04 GMT 2025","Fri Jan 24 16:10:06 GMT 2025","2556","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:09:21 GMT 2025","Fri Jan 24 16:09:31 GMT 2025","9752","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"failed","Fri Jan 24 16:09:56 GMT 2025","Fri Jan 24 16:10:04 GMT 2025","8288","","Inventory Functionality","","Test if all links are valid","","Test if all links are valid",""
"passed","Fri Jan 24 16:09:26 GMT 2025","Fri Jan 24 16:09:32 GMT 2025","6010","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 16:10:04 GMT 2025","Fri Jan 24 16:10:07 GMT 2025","2442","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:09:20 GMT 2025","Fri Jan 24 16:09:31 GMT 2025","10870","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 16:09:59 GMT 2025","Fri Jan 24 16:10:04 GMT 2025","5635","","the-internet selenium demo","","Slider moving test","","Slider moving test","  This website contains some common web elements for selenium demo"
"failed","Fri Jan 24 16:09:56 GMT 2025","Fri Jan 24 16:10:03 GMT 2025","7275","","the-internet selenium demo","","Drag and Drop test","","Drag and Drop test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:09:57 GMT 2025","Fri Jan 24 16:10:04 GMT 2025","6722","","the-internet selenium demo","","Select option test","","Select option test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:09:29 GMT 2025","Fri Jan 24 16:09:32 GMT 2025","3604","","Login Functionality","","password is empty","","password is empty",""
"passed","Fri Jan 24 16:09:43 GMT 2025","Fri Jan 24 16:09:52 GMT 2025","8503","","the-internet selenium demo","","add/remove elements: delete","","add/remove elements: delete","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:09:29 GMT 2025","Fri Jan 24 16:09:33 GMT 2025","3778","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 16:09:51 GMT 2025","Fri Jan 24 16:10:06 GMT 2025","15284","","the-internet selenium demo","","Check checkbox function","","Check checkbox function","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:09:51 GMT 2025","Fri Jan 24 16:10:01 GMT 2025","9476","","the-internet selenium demo","","Check Context Menu","","Check Context Menu","  This website contains some common web elements for selenium demo"
