"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 21 04:38:59 GMT 2025","Tue Jan 21 04:39:07 GMT 2025","8262","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Tue Jan 21 04:38:59 GMT 2025","Tue Jan 21 04:39:08 GMT 2025","8106","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Tue Jan 21 04:39:02 GMT 2025","Tue Jan 21 04:39:08 GMT 2025","5960","","Login Functionality","","password is empty","","password is empty",""
"passed","Tue Jan 21 04:39:00 GMT 2025","Tue Jan 21 04:39:08 GMT 2025","7549","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Tue Jan 21 04:38:58 GMT 2025","Tue Jan 21 04:39:07 GMT 2025","8892","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Tue Jan 21 04:39:00 GMT 2025","Tue Jan 21 04:39:07 GMT 2025","7751","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Tue Jan 21 04:39:00 GMT 2025","Tue Jan 21 04:39:07 GMT 2025","7129","","Login Functionality","","username is empty","","username is empty",""
"passed","Tue Jan 21 04:39:02 GMT 2025","Tue Jan 21 04:39:08 GMT 2025","5592","","Login Functionality","","Successful Login","","Successful Login",""
"failed","Tue Jan 21 04:39:08 GMT 2025","Tue Jan 21 04:39:11 GMT 2025","2281","","Inventory Functionality","","Test if all links are valid","","Test if all links are valid",""
"passed","Tue Jan 21 04:38:58 GMT 2025","Tue Jan 21 04:39:07 GMT 2025","8984","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Tue Jan 21 04:39:11 GMT 2025","Tue Jan 21 04:39:13 GMT 2025","2137","","Inventory Functionality","","Test if inventory is list as low to high","","Test if inventory is list as low to high",""
