"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login Functionality","1","0","username is empty","0"
"0","","0","Login Functionality","1","0","password is empty","0"
"0","","0","Login Functionality","4","0","wrong username and/or password","0"
"0","","0","Inventory Functionality","1","0","Test if inventory is list as low to high","0"
"0","","0","Login Functionality","3","0","Successful Login","0"
"0","","0","Inventory Functionality","1","0","Test if all links are valid","0"
