"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 19 16:32:50 GMT 2025","Sun Jan 19 16:32:51 GMT 2025","997","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Sun Jan 19 16:32:40 GMT 2025","Sun Jan 19 16:32:44 GMT 2025","3844","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Sun Jan 19 16:32:52 GMT 2025","Sun Jan 19 16:32:53 GMT 2025","1115","","Inventory Functionality","","Test if inventory is list as low to high","","Test if inventory is list as low to high",""
"passed","Sun Jan 19 16:32:49 GMT 2025","Sun Jan 19 16:32:50 GMT 2025","1028","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Sun Jan 19 16:32:51 GMT 2025","Sun Jan 19 16:32:52 GMT 2025","973","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Sun Jan 19 16:32:48 GMT 2025","Sun Jan 19 16:32:49 GMT 2025","994","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Sun Jan 19 16:32:46 GMT 2025","Sun Jan 19 16:32:47 GMT 2025","954","","Login Functionality","","username is empty","","username is empty",""
"passed","Sun Jan 19 16:32:47 GMT 2025","Sun Jan 19 16:32:48 GMT 2025","939","","Login Functionality","","password is empty","","password is empty",""
"passed","Sun Jan 19 16:32:45 GMT 2025","Sun Jan 19 16:32:46 GMT 2025","987","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Sun Jan 19 16:32:44 GMT 2025","Sun Jan 19 16:32:45 GMT 2025","996","","Login Functionality","","Successful Login","","Successful Login",""
"failed","Sun Jan 19 16:32:53 GMT 2025","Sun Jan 19 16:32:54 GMT 2025","1736","","Inventory Functionality","","Test if all links are valid","","Test if all links are valid",""
