"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 24 16:04:15 GMT 2025","Fri Jan 24 16:04:17 GMT 2025","1892","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:04:07 GMT 2025","Fri Jan 24 16:04:13 GMT 2025","6306","","the-internet selenium demo","","Select option test","","Select option test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:03:51 GMT 2025","Fri Jan 24 16:04:01 GMT 2025","10499","","Inventory Functionality","","Test if inventory is list as low to high","","Test if inventory is list as low to high",""
"failed","Fri Jan 24 16:04:04 GMT 2025","Fri Jan 24 16:04:16 GMT 2025","11452","","the-internet selenium demo","","Check if all image loaded","","Check if all image loaded","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:04:13 GMT 2025","Fri Jan 24 16:04:16 GMT 2025","3166","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:03:34 GMT 2025","Fri Jan 24 16:03:40 GMT 2025","6069","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 16:03:34 GMT 2025","Fri Jan 24 16:03:40 GMT 2025","5774","","Login Functionality","","username is empty","","username is empty",""
"passed","Fri Jan 24 16:04:10 GMT 2025","Fri Jan 24 16:04:15 GMT 2025","4769","","the-internet selenium demo","","Slider moving test","","Slider moving test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:03:28 GMT 2025","Fri Jan 24 16:03:37 GMT 2025","9193","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 16:03:30 GMT 2025","Fri Jan 24 16:03:38 GMT 2025","8608","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 16:03:36 GMT 2025","Fri Jan 24 16:03:41 GMT 2025","4628","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 16:04:13 GMT 2025","Fri Jan 24 16:04:16 GMT 2025","3479","","the-internet selenium demo","","Hover test","","Hover test","  This website contains some common web elements for selenium demo"
"failed","Fri Jan 24 16:03:53 GMT 2025","Fri Jan 24 16:04:04 GMT 2025","11125","","Inventory Functionality","","Test if all links are valid","","Test if all links are valid",""
"passed","Fri Jan 24 16:03:57 GMT 2025","Fri Jan 24 16:04:08 GMT 2025","10768","","the-internet selenium demo","","Check Context Menu","","Check Context Menu","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:03:57 GMT 2025","Fri Jan 24 16:04:06 GMT 2025","8969","","the-internet selenium demo","","add/remove elements: add","","add/remove elements: add","  This website contains some common web elements for selenium demo"
"failed","Fri Jan 24 16:04:02 GMT 2025","Fri Jan 24 16:04:10 GMT 2025","7949","","the-internet selenium demo","","Drag and Drop test","","Drag and Drop test","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:03:36 GMT 2025","Fri Jan 24 16:03:41 GMT 2025","4385","","Login Functionality","","wrong username and/or password","","wrong username and/or password",""
"passed","Fri Jan 24 16:03:36 GMT 2025","Fri Jan 24 16:03:40 GMT 2025","4634","","Login Functionality","","password is empty","","password is empty",""
"passed","Fri Jan 24 16:03:19 GMT 2025","Fri Jan 24 16:03:23 GMT 2025","3927","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 16:03:26 GMT 2025","Fri Jan 24 16:03:36 GMT 2025","9317","","Login Functionality","","Successful Login","","Successful Login",""
"passed","Fri Jan 24 16:04:06 GMT 2025","Fri Jan 24 16:04:22 GMT 2025","15187","","the-internet selenium demo","","Check checkbox function","","Check checkbox function","  This website contains some common web elements for selenium demo"
"passed","Fri Jan 24 16:04:02 GMT 2025","Fri Jan 24 16:04:10 GMT 2025","7816","","the-internet selenium demo","","add/remove elements: delete","","add/remove elements: delete","  This website contains some common web elements for selenium demo"
